cases,date
SRR28752446,111
SRR28752452,108
SRR28752453,108
SRR28752455,116
SRR28752456,115
SRR28752457,102
SRR28752458,115
SRR28752459,115
SRR28752460,115
SRR28752461,115
SRR28752462,115
SRR28752463,115
SRR28752464,115
SRR28752465,119
SRR28752466,119
SRR28752467,119
SRR28752468,102
SRR28752469,119
SRR28752470,119
SRR28752471,119
SRR28752472,119
SRR28752473,115
SRR28752474,115
SRR28752475,115
SRR28752476,116
SRR28752477,116
SRR28752484,115
SRR28752487,115
SRR28752490,105
SRR28752491,105
SRR28752492,105
SRR28752493,105
SRR28752495,127
SRR28752496,127
SRR28752497,124
SRR28752498,115
SRR28752499,124
SRR28752500,124
SRR28752501,124
SRR28752502,124
SRR28752503,124
SRR28752504,124
SRR28752505,124
SRR28752506,124
SRR28752507,127
SRR28752508,127
SRR28752509,115
SRR28752511,115
SRR28752512,115
SRR28752513,115
SRR28752514,109
SRR28752515,109
SRR28752516,109
SRR28752517,109
SRR28752518,109
SRR28752519,109
SRR28752520,111
SRR28752521,115
SRR28752522,89
SRR28752523,117
SRR28752524,117
SRR28752525,115
SRR28752526,115
SRR28752527,115
SRR28752528,115
SRR28752538,115
SRR28752549,115
SRR28752553,127
SRR28752556,120
SRR28752557,120
SRR28752558,120
SRR28752559,120
SRR28752560,120
SRR28752561,120
SRR28752562,120
SRR28752563,105
SRR28752564,120
SRR28752565,120
SRR28752566,120
SRR28752567,120
SRR28752568,118
SRR28752574,113
SRR28752578,122
SRR28752579,122
SRR28752580,122
SRR28752581,122
SRR28752582,122
SRR28752583,122
SRR28752584,120
SRR28752585,109
SRR28752586,109
SRR28752587,109
SRR28752588,109
SRR28752589,109
SRR28752590,109
SRR28752591,109
SRR28752592,109
SRR28752593,109
SRR28752594,109
SRR28752595,111
SRR28752596,109
SRR28752597,109
SRR28752598,109
SRR28752599,109
SRR28752600,109
SRR28752601,109
SRR28752602,109
SRR28752603,109
SRR28752604,109
SRR28752605,109
SRR28752606,111
SRR28752607,115
SRR28752608,115
SRR28752609,115
SRR28752610,115
SRR28752611,115
SRR28752612,115
SRR28752613,115
SRR28752614,115
SRR28752624,115
SRR28752635,115
SRR28752636,80
SRR28752647,115
SRR28752649,113
SRR28752650,120
SRR28752651,120
SRR28752652,120
SRR28752653,120
SRR28752654,120
SRR28752655,120
SRR28752656,120
SRR28752657,120
SRR28752658,120
SRR28752659,120
SRR28752660,111
SRR28752661,120
SRR28752662,120
SRR28752663,120
SRR28752664,120
SRR28752667,116
SRR28752668,116
SRR28752669,116
SRR28752670,116
SRR28752671,111
SRR28752672,111
SRR28752673,111
SRR28752674,111
SRR28752678,120
SRR28752679,120
SRR28752682,111
SRR28752683,60
