cases,date
USA-MA-CDCBI-CRSP_NWSHKK6JGYAKZZ2X-2021,677
USA-MA-CDCBI-CRSP_SLKFA5Q6ILS5MLKG-2021,674
USA-MA-CDCBI-CRSP_DNPZLKNUUJKYIILT-2021,679
USA-MA-CDCBI-CRSP_BSGAEUG3CN3BXBTW-2022,862
USA-MA-CDCBI-CRSP_73LUJONJ3EGHPBMK-2021,672
USA-MA-CDCBI-CRSP_UFI2HHIWHFWVVBSK-2021,670
USA-MA-CDCBI-CRSP_L3PMNLSQWFCFXLNA-2021,677
USA-MA-CDCBI-CRSP_P2TXAY5KFDKDNK6H-2021,700
USA-MA-CDCBI-CRSP_CMT7OXCSEZBZNXVA-2021,679
USA-MA-CDCBI-CRSP_QAYZO6X433BLZMWP-2021,691
USA-MA-CDCBI-CRSP_FV346DYZ4BZH3ATU-2022,966
USA-MA-CDCBI-CRSP_NTNY2PSIVTFR5NBZ-2021,677
USA-MA-CDCBI-CRSP_5ZIYE4L46OC3PDOI-2021,644
USA-MA-CDCBI-CRSP_7V6VKEMB52B3GJKZ-2022,903
USA-MA-CDCBI-CRSP_ITG2CW3BA62D4KMH-2021,677
USA-MA-CDCBI-CRSP_P6HJLZ6LAQUTG2OQ-2021,713
USA-MA-CDCBI-CRSP_XSYPY6YTY2RIOKHG-2021,688
USA-MA-CDCBI-CRSP_RCPETD74F27TETIF-2021,691
USA-MA-CDCBI-CRSP_AKJAFUZXWLS76URY-2021,659
USA-MA-CDCBI-CRSP_GAE5KXWNOBFXOADL-2021,685
USA-MA-CDCBI-CRSP_3ZD2QRKEZVTIYTJY-2021,686
USA-MA-Broad-CRSP_YGTO55B6MCOSKEGS-2022,854
USA-MA-CDCBI-CRSP_OVLD3JPAJ2IUFXIB-2021,705
USA-MA-Broad-CRSP_TQ3CDSKCJHA4Y2XW-2022,854
USA-MA-CDCBI-CRSP_BLA5G5KGUP7K3PPN-2021,705
USA-MA-CDCBI-CRSP_6H2S6BDU6MSQPA3J-2021,659
USA-MA-CDCBI-CRSP_WK33LVCBADJH3LZI-2021,658
USA-MA-CDCBI-CRSP_WHNWTC42NUZXVOBD-2021,691
USA-MA-CDCBI-CRSP_ONXLKISH46SP47IB-2021,687
USA-MA-Broad-CRSP_JWJIMTRE4M3ECHJ6-2022,849
USA-MA-CDCBI-CRSP_VGRC6KBKHDRZ22TJ-2021,691
USA-MA-CDCBI-CRSP_GT3AUO5M6KTDAZUT-2021,692
USA-MA-CDCBI-CRSP_C5EQHBSKHR4DFOFE-2021,670
