cases,date
USA-MA-CDCBI-CRSP_BZHLUKHFQF4AP235-2022,890
USA-MA-CDCBI-CRSP_EAMFOFVXBJUZOXST-2022,891
USA-MA-CDCBI-CRSP_P6EFBLHROCB3PZFX-2022,890
USA-MA-CDCBI-CRSP_TAUDO3C3W5ZQ5AKN-2022,883
USA-MA-CDCBI-CRSP_RMC6H2J2TELOOHUK-2022,897
USA-MA-CDCBI-CRSP_A5WXEG35JD5N4W37-2022,891
USA-MA-CDCBI-CRSP_IVMA53PCRY7JXMMH-2022,888
USA-MA-CDCBI-CRSP_43DFDC6JJ2QI5JYH-2022,888
USA-MA-CDCBI-CRSP_AZG2MVNUMUUQUXTA-2022,883
USA-MA-CDCBI-CRSP_22STHEJ4QF2W2EOJ-2022,883
USA-MA-CDCBI-CRSP_A5JXGLJ7O4AIOSQF-2022,891
USA-MA-CDCBI-CRSP_LRLRI5BWHKLE2CHM-2022,882
USA-MA-CDCBI-CRSP_IKLWWUQAYUQIFJ7H-2022,891
USA-MA-CDCBI-CRSP_XZEZR6F4HX7NROVR-2022,891
USA-MA-CDCBI-CRSP_C725QKLQ5YLDIMPT-2022,885
USA-MA-CDCBI-CRSP_7C7ETI5YUBUO7WEO-2022,886
USA-MA-CDCBI-CRSP_KV37GUEG556FWCVH-2022,890
USA-MA-CDCBI-CRSP_AORL5GBML2ZCVRQY-2022,887
USA-MA-CDCBI-CRSP_D5J7A62JKQAWPWLH-2022,884
USA-MA-CDCBI-CRSP_NHOZYCWXFTJOUDYB-2022,897
USA-MA-CDCBI-CRSP_BBTTQBWQJ32H4CIQ-2022,888
USA-MA-CDCBI-CRSP_YB5PZNMZ7SKYSJMJ-2022,890
USA-MA-CDCBI-CRSP_WI33XOKIDV6K2P52-2022,884
USA-MA-CDCBI-CRSP_PDKJYF644V5IS6WL-2022,882
USA-MA-CDCBI-CRSP_X4RFWP7YTX35XKN6-2022,882
USA-MA-CDCBI-CRSP_CNPXQW35L6XHUT7W-2022,894
USA-MA-CDCBI-CRSP_5OHRMDRIDIZNJFAD-2022,897
USA-MA-CDCBI-CRSP_KMS3SPMG72L3YPG2-2022,882
USA-MA-CDCBI-CRSP_PE37ISVXWHPEDJWG-2022,887
USA-MA-CDCBI-CRSP_DGZSJ3A2V2KEKQM2-2022,882
USA-MA-CDCBI-CRSP_D7VQXIOP4RLK6GZG-2022,892
USA-MA-CDCBI-CRSP_6PGC32A7P446HHDS-2022,882
USA-MA-CDCBI-CRSP_VDHWLWAASIVFJ3WF-2022,883
USA-MA-CDCBI-CRSP_EL62TCLU5WBNIYBG-2022,889
USA-MA-CDCBI-CRSP_VD5QM6AH3KFJAIL6-2022,887
USA-MA-CDCBI-CRSP_PLHW4PD4QS2R3AQZ-2022,897
USA-MA-CDCBI-CRSP_XYIGYIJLOU677XS2-2022,882
USA-MA-CDCBI-CRSP_K6AJJAU5UY3WOGJX-2022,897
USA-MA-CDCBI-CRSP_RE4NOGL5C5QZJHJD-2022,882
USA-MA-CDCBI-CRSP_5ZXKTPQLGKVM5AUE-2022,897
USA-MA-CDCBI-CRSP_AOIIKVXRPBV4SZS2-2022,897
USA-MA-CDCBI-CRSP_7HH4S3HSTKNVLK5F-2022,882
USA-MA-CDCBI-CRSP_PV663AEO7EKWEMQI-2022,892
USA-MA-CDCBI-CRSP_3QNBYDCWXWGKLBTD-2022,890
USA-MA-CDCBI-CRSP_7WHQOTDHC444IX6G-2022,891
USA-MA-CDCBI-CRSP_2FV7ONFXPUSXKRTO-2022,886
USA-MA-CDCBI-CRSP_HB232DSDDENREL5G-2022,883
USA-MA-CDCBI-CRSP_DNEEUL4TYNSC3AZU-2022,889
USA-MA-CDCBI-CRSP_LNMFMGHQDVWCRS5V-2022,888
USA-VT-CDCBI-CRSP_VZULHMOSQYHFM2DY-2022,889
USA-MA-CDCBI-CRSP_M7HDCFVYT3XB5GDA-2022,891
USA-MA-CDCBI-CRSP_ESCU32QBL6LOYWTH-2022,888
USA-MA-CDCBI-CRSP_3EPGYOTKFJW4XGAO-2022,887
USA-MA-CDCBI-CRSP_QULS7PDG75WOSNXH-2022,894
